,Location,Date,Value
219,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-08,0.0
220,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-08,3240.0
221,Paseo del Norte & Rail Runner Bicycle Westbound,2017-08,3334.0
222,Paseo del Norte & Rail Runner PED Eastbound,2017-08,468.0
223,Paseo del Norte & Rail Runer PED Westbound,2017-08,523.0
224,Jerry Cline Park Pedestrians IN West,2017-09,0.0
225,Jerry Cline Park Pedestrians OUT East,2017-09,0.0
226,Jerry Cline Park Bicyclists OUT East,2017-09,0.0
227,Erna Fergusson Library Bicycle Eastbound,2017-09,1755.0
228,Erna Fergusson Library Bicycle Westbound,2017-09,1470.0
229,Erna Fergusson Library PED Eastbound,2017-09,2990.0
230,Erna Fergusson Library PED Westbound,2017-09,2277.0
231,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-09,0.0
232,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-09,0.0
233,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-09,0.0
234,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-09,0.0
235,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-09,0.0
236,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-09,0.0
237,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-09,0.0
238,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-09,0.0
239,Jerry Cline Park Cyclists IN West,2017-09,0.0
240,Paseo del Bosque & Montano Rd Cyclists North,2017-09,0.0
241,Paseo del Bosque & Montano Rd Cyclists South,2017-09,0.0
242,Paseo del Bosque & Montano Rd Pedestrians North,2017-09,0.0
243,Paseo del Bosque & Montano Rd Pedestrians South,2017-09,0.0
244,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-09,0.0
245,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-09,0.0
246,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-09,0.0
247,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-09,0.0
248,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-09,2774.0
249,Paseo del Norte & Rail Runner Bicycle Westbound,2017-09,2768.0
250,Paseo del Norte & Rail Runner PED Eastbound,2017-09,492.0
251,Paseo del Norte & Rail Runer PED Westbound,2017-09,565.0
252,Jerry Cline Park Pedestrians IN West,2017-10,2222.0
253,Jerry Cline Park Pedestrians OUT East,2017-10,2012.0
254,Jerry Cline Park Bicyclists OUT East,2017-10,1287.0
255,Erna Fergusson Library Bicycle Eastbound,2017-10,1875.0
256,Erna Fergusson Library Bicycle Westbound,2017-10,1615.0
257,Erna Fergusson Library PED Eastbound,2017-10,4224.0
258,Erna Fergusson Library PED Westbound,2017-10,2416.0
259,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-10,4088.0
260,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-10,3849.0
261,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-10,1466.0
262,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-10,1662.0
263,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-10,1652.0
264,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-10,1649.0
265,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-10,670.0
266,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-10,667.0
267,Jerry Cline Park Cyclists IN West,2017-10,1445.0
268,Paseo del Bosque & Montano Rd Cyclists North,2017-10,7806.0
269,Paseo del Bosque & Montano Rd Cyclists South,2017-10,7643.0
270,Paseo del Bosque & Montano Rd Pedestrians North,2017-10,2671.0
271,Paseo del Bosque & Montano Rd Pedestrians South,2017-10,2892.0
272,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-10,6619.0
273,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-10,6717.0
274,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-10,4176.0
275,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-10,4642.0
276,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-10,3117.0
277,Paseo del Norte & Rail Runner Bicycle Westbound,2017-10,3482.0
278,Paseo del Norte & Rail Runner PED Eastbound,2017-10,1253.0
279,Paseo del Norte & Rail Runer PED Westbound,2017-10,1848.0
280,Jerry Cline Park Pedestrians IN West,2017-11,2066.0
281,Jerry Cline Park Pedestrians OUT East,2017-11,2041.0
282,Jerry Cline Park Bicyclists OUT East,2017-11,1191.0
283,Erna Fergusson Library Bicycle Eastbound,2017-11,1369.0
284,Erna Fergusson Library Bicycle Westbound,2017-11,1338.0
285,Erna Fergusson Library PED Eastbound,2017-11,3888.0
286,Erna Fergusson Library PED Westbound,2017-11,2177.0
287,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-11,3605.0
288,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-11,3436.0
289,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-11,1320.0
290,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-11,1403.0
291,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-11,3266.0
292,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-11,3160.0
293,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-11,1432.0
294,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-11,1389.0
295,Jerry Cline Park Cyclists IN West,2017-11,1433.0
